red_fighter_name,blue_fighter_name,event_date,red_fighter_result,blue_fighter_result,fight_outcome,method,round,time,bout_type,event_name,event_location,source_url,source_title
Jan Nortje,Bob Sapp,2008-02-23,W,L,red_win,TKO (punches),1,0:55,Heavyweight Bout,Strikeforce: At The Dome,"Tacoma Dome, Tacoma, Washington , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_At_The_Dome,Strikeforce: At The Dome
Jorge Masvidal,Ryan Healy,2008-02-23,W,L,red_win,Decision (unanimous),3,5:00,Lightweight Bout,Strikeforce: At The Dome,"Tacoma Dome, Tacoma, Washington , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_At_The_Dome,Strikeforce: At The Dome
Cory Devela,Joe Riggs,2008-02-23,W,L,red_win,TKO (Submission to slam),1,1:22,Middleweight Bout,Strikeforce: At The Dome,"Tacoma Dome, Tacoma, Washington , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_At_The_Dome,Strikeforce: At The Dome
Maurice Smith,Rick Roufus,2008-02-23,W,L,red_win,Submission (kimura),1,1:53,Heavyweight Bout,Strikeforce: At The Dome,"Tacoma Dome, Tacoma, Washington , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_At_The_Dome,Strikeforce: At The Dome
Eddy Ellis,Steve Berger,2008-02-23,W,L,red_win,Decision (unanimous),3,5:00,Welterweight Bout,Strikeforce: At The Dome,"Tacoma Dome, Tacoma, Washington , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_At_The_Dome,Strikeforce: At The Dome
Mychal Clark,Josh Bennett,2008-02-23,W,L,red_win,TKO (swollen eye),2,5:00,Heavyweight Bout,Strikeforce: At The Dome,"Tacoma Dome, Tacoma, Washington , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_At_The_Dome,Strikeforce: At The Dome
Lyle Beerbohm,Ray Perales,2008-02-23,W,L,red_win,Submission (guillotine choke),3,1:19,Welterweight Bout,Strikeforce: At The Dome,"Tacoma Dome, Tacoma, Washington , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_At_The_Dome,Strikeforce: At The Dome
Mike Hayes,Matt Kovacs,2008-02-23,W,L,red_win,Decision (unanimous),3,5:00,Heavyweight Bout,Strikeforce: At The Dome,"Tacoma Dome, Tacoma, Washington , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_At_The_Dome,Strikeforce: At The Dome
Zack Skinner,Scott Shaffer,2008-02-23,W,L,red_win,Decision (unanimous),3,5:00,Featherweight Bout,Strikeforce: At The Dome,"Tacoma Dome, Tacoma, Washington , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_At_The_Dome,Strikeforce: At The Dome
Nathan Coy,Dave Courchaine,2008-02-23,W,L,red_win,KO (punch),1,1:46,Welterweight Bout,Strikeforce: At The Dome,"Tacoma Dome, Tacoma, Washington , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_At_The_Dome,Strikeforce: At The Dome
Trevor Prangley,Anthony Ruiz,2008-09-20,W,L,red_win,"Decision (unanimous) (29–28, 30–27, 30–26)",3,5:00,Light Heavyweight Bout,Strikeforce: At the Mansion II,"Playboy Mansion, Beverly Hills, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_At_The_Mansion_II,Strikeforce: At The Mansion II
Mitsuhiro Ishida,Justin Wilcox,2008-09-20,W,L,red_win,Submission (armbar),1,1:21,Lightweight Bout,Strikeforce: At the Mansion II,"Playboy Mansion, Beverly Hills, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_At_The_Mansion_II,Strikeforce: At The Mansion II
Terry Martin,Cory Devela,2008-09-20,W,L,red_win,TKO (strikes),3,2:08,Middleweight Bout,Strikeforce: At the Mansion II,"Playboy Mansion, Beverly Hills, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_At_The_Mansion_II,Strikeforce: At The Mansion II
Josh Thomson,Ashe Bowman,2008-09-20,W,L,red_win,TKO (punches),1,1:14,Lightweight Bout,Strikeforce: At the Mansion II,"Playboy Mansion, Beverly Hills, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_At_The_Mansion_II,Strikeforce: At The Mansion II
Kazuo Misaki,Joe Riggs,2008-09-20,W,L,red_win,TKO (punches),2,2:29,Middleweight Bout,Strikeforce: At the Mansion II,"Playboy Mansion, Beverly Hills, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_At_The_Mansion_II,Strikeforce: At The Mansion II
Luke Stewart,Jesse Juarez,2008-09-20,W,L,red_win,Submission (armbar),1,4:55,Welterweight Bout,Strikeforce: At the Mansion II,"Playboy Mansion, Beverly Hills, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_At_The_Mansion_II,Strikeforce: At The Mansion II
Eric Lawson,Kenneth Seegrist,2008-09-20,W,L,red_win,Submission (rear-naked choke),1,3:07,Middleweight Bout,Strikeforce: At the Mansion II,"Playboy Mansion, Beverly Hills, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_At_The_Mansion_II,Strikeforce: At The Mansion II
Brandon Magana,Brandon Thatch,2008-09-20,W,L,red_win,"Decision (split) (29–28, 28–29, 29–28)",3,3:00,Welterweight Bout,Strikeforce: At the Mansion II,"Playboy Mansion, Beverly Hills, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_At_The_Mansion_II,Strikeforce: At The Mansion II
Jesse Gillespie,Dave Martin,2008-09-20,W,L,red_win,"Decision (split) (27–30, 29–28, 29–28)",3,3:00 [ 1 ],Catchweight (195 lb) Bout,Strikeforce: At the Mansion II,"Playboy Mansion, Beverly Hills, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_At_The_Mansion_II,Strikeforce: At The Mansion II
Daniel Cormier,Josh Barnett,2012-05-19,W,L,red_win,"Decision (unanimous) (49–46, 50–45, 50–45)",5,5:00,Heavyweight Bout,Strikeforce: Barnett vs. Cormier,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Barnett_vs._Cormier,Strikeforce: Barnett vs. Cormier
Gilbert Melendez,Josh Thomson,2012-05-19,W,L,red_win,"Decision (split) (47–48, 48–47, 48–47)",5,5:00,Lightweight Bout,Strikeforce: Barnett vs. Cormier,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Barnett_vs._Cormier,Strikeforce: Barnett vs. Cormier
Rafael Cavalcante,Mike Kyle,2012-05-19,NC,NC,no_contest,No Contest (overturned),1,0:33,Light Heavyweight Bout,Strikeforce: Barnett vs. Cormier,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Barnett_vs._Cormier,Strikeforce: Barnett vs. Cormier
Chris Spång,Nah-Shon Burrell,2012-05-19,W,L,red_win,TKO (knees),1,3:25,Welterweight Bout,Strikeforce: Barnett vs. Cormier,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Barnett_vs._Cormier,Strikeforce: Barnett vs. Cormier
Isaac Vallie-Flagg,Gesias Cavalcante,2012-05-19,W,L,red_win,"Decision (split) (29–28, 29–28, 28–29)",3,5:00,Lightweight Bout,Strikeforce: Barnett vs. Cormier,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Barnett_vs._Cormier,Strikeforce: Barnett vs. Cormier
Bobby Green,James Terry,2012-05-19,W,L,red_win,"Decision (split) (28–29, 29–28, 29–28)",3,5:00,Lightweight Bout,Strikeforce: Barnett vs. Cormier,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Barnett_vs._Cormier,Strikeforce: Barnett vs. Cormier
Quinn Mulhern,Yuri Villefort,2012-05-19,W,L,red_win,"Decision (split) (30–27, 28–29, 29–28)",3,5:00,Welterweight Bout,Strikeforce: Barnett vs. Cormier,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Barnett_vs._Cormier,Strikeforce: Barnett vs. Cormier
Gian Villante,Derrick Mehmen,2012-05-19,W,L,red_win,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00,Light Heavyweight Bout,Strikeforce: Barnett vs. Cormier,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Barnett_vs._Cormier,Strikeforce: Barnett vs. Cormier
Guto Inocente,Virgil Zwicker,2012-05-19,W,L,red_win,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00,Light Heavyweight Bout,Strikeforce: Barnett vs. Cormier,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Barnett_vs._Cormier,Strikeforce: Barnett vs. Cormier
Josh Barnett,Sergei Kharitonov,2011-09-10,W,L,red_win,Submission (arm triangle choke),1,4:28,Heavyweight Bout,Strikeforce: Barnett vs. Kharitonov,"U.S. Bank Arena, Cincinnati, Ohio , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Barnett_vs._Kharitonov,Strikeforce: Barnett vs. Kharitonov
Daniel Cormier,Antônio Silva,2011-09-10,W,L,red_win,KO (punches),1,3:56,Heavyweight Bout,Strikeforce: Barnett vs. Kharitonov,"U.S. Bank Arena, Cincinnati, Ohio , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Barnett_vs._Kharitonov,Strikeforce: Barnett vs. Kharitonov
Luke Rockhold,Ronaldo Souza,2011-09-10,W,L,red_win,"Decision (unanimous) (50–45, 48–47, 48–47)",5,5:00,Middleweight Bout,Strikeforce: Barnett vs. Kharitonov,"U.S. Bank Arena, Cincinnati, Ohio , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Barnett_vs._Kharitonov,Strikeforce: Barnett vs. Kharitonov
Muhammed Lawal,Roger Gracie,2011-09-10,W,L,red_win,KO (punches),1,4:33,Light Heavyweight Bout,Strikeforce: Barnett vs. Kharitonov,"U.S. Bank Arena, Cincinnati, Ohio , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Barnett_vs._Kharitonov,Strikeforce: Barnett vs. Kharitonov
Pat Healy,Maximo Blanco,2011-09-10,W,L,red_win,Submission (rear-naked choke),2,4:27,Lightweight Bout,Strikeforce: Barnett vs. Kharitonov,"U.S. Bank Arena, Cincinnati, Ohio , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Barnett_vs._Kharitonov,Strikeforce: Barnett vs. Kharitonov
Rafael Cavalcante,Yoel Romero,2011-09-10,W,L,red_win,KO (punches),2,4:51,Light Heavyweight Bout,Strikeforce: Barnett vs. Kharitonov,"U.S. Bank Arena, Cincinnati, Ohio , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Barnett_vs._Kharitonov,Strikeforce: Barnett vs. Kharitonov
Jordan Mein,Evangelista Santos,2011-09-10,W,L,red_win,TKO (elbows),3,3:18,Welterweight Bout,Strikeforce: Barnett vs. Kharitonov,"U.S. Bank Arena, Cincinnati, Ohio , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Barnett_vs._Kharitonov,Strikeforce: Barnett vs. Kharitonov
Mike Kyle,Marcos Rogério de Lima,2011-09-10,W,L,red_win,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00,Light Heavyweight Bout,Strikeforce: Barnett vs. Kharitonov,"U.S. Bank Arena, Cincinnati, Ohio , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Barnett_vs._Kharitonov,Strikeforce: Barnett vs. Kharitonov
Alexis Davis,Amanda Nunes,2011-09-10,W,L,red_win,TKO (punches),2,4:53,Women's Bantamweight Bout,Strikeforce: Barnett vs. Kharitonov,"U.S. Bank Arena, Cincinnati, Ohio , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Barnett_vs._Kharitonov,Strikeforce: Barnett vs. Kharitonov
Dominique Steele,Chris Mierzwiak,2011-09-10,W,L,red_win,"Decision (unanimous) (29–28, 29–27, 29–27)",3,5:00,Middleweight Bout,Strikeforce: Barnett vs. Kharitonov,"U.S. Bank Arena, Cincinnati, Ohio , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Barnett_vs._Kharitonov,Strikeforce: Barnett vs. Kharitonov
Cris Cyborg,Gina Carano,2009-08-15,W,L,red_win,TKO (punches),1,4:59,Women's Featherweight Bout,Strikeforce: Carano vs. Cyborg,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Carano_vs._Cyborg,Strikeforce: Carano vs. Cyborg
Gegard Mousasi,Renato Sobral,2009-08-15,W,L,red_win,KO (punches),1,1:00,Light Heavyweight Bout,Strikeforce: Carano vs. Cyborg,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Carano_vs._Cyborg,Strikeforce: Carano vs. Cyborg
Gilbert Melendez,Mitsuhiro Ishida,2009-08-15,W,L,red_win,TKO (punches),3,3:56,Lightweight Bout,Strikeforce: Carano vs. Cyborg,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Carano_vs._Cyborg,Strikeforce: Carano vs. Cyborg
Fabrício Werdum,Mike Kyle,2009-08-15,W,L,red_win,Submission (guillotine choke),1,1:24,Heavyweight Bout,Strikeforce: Carano vs. Cyborg,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Carano_vs._Cyborg,Strikeforce: Carano vs. Cyborg
Jay Hieron,Jesse Taylor,2009-08-15,W,L,red_win,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,Welterweight Bout,Strikeforce: Carano vs. Cyborg,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Carano_vs._Cyborg,Strikeforce: Carano vs. Cyborg
Justin Wilcox,David Douglas,2009-08-15,W,L,red_win,Submission (rear-naked choke),3,3:16,Lightweight Bout,Strikeforce: Carano vs. Cyborg,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Carano_vs._Cyborg,Strikeforce: Carano vs. Cyborg
Alexander Trevino,Isaiah Hill,2009-08-15,W,L,red_win,Submission (keylock),1,3:56,Lightweight Bout,Strikeforce: Carano vs. Cyborg,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Carano_vs._Cyborg,Strikeforce: Carano vs. Cyborg
James Terry,Zak Bucia,2009-08-15,W,L,red_win,TKO (head kick and punches),1,1:23,Welterweight Bout,Strikeforce: Carano vs. Cyborg,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Carano_vs._Cyborg,Strikeforce: Carano vs. Cyborg
Scott Lighty,Mike Cook,2009-08-15,W,L,red_win,TKO (punch to the body),1,2:05,Light Heavyweight Bout,Strikeforce: Carano vs. Cyborg,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Carano_vs._Cyborg,Strikeforce: Carano vs. Cyborg
Renato Sobral,Bobby Southworth,2008-11-21,W,L,red_win,TKO (doctor stoppage),1,5:00,Light Heavyweight Bout,Strikeforce: Destruction,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Destruction,Strikeforce: Destruction
Duane Ludwig,Yves Edwards,2008-11-21,W,L,red_win,"Decision (unanimous) (29-28, 29-28, 29-28)",3,5:00,Catchweight (165 lbs) Bout,Strikeforce: Destruction,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Destruction,Strikeforce: Destruction
Scott Smith,Terry Martin,2008-11-21,W,L,red_win,KO (punch),1,0:29,Middleweight Bout,Strikeforce: Destruction,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Destruction,Strikeforce: Destruction
Joe Riggs,Luke Stewart,2008-11-21,W,L,red_win,TKO (punches),2,2:05,Welterweight Bout,Strikeforce: Destruction,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Destruction,Strikeforce: Destruction
Luke Rockhold,Nik Theotikos,2008-11-21,W,L,red_win,Submission (rear-naked choke),1,3:06,Middleweight Bout,Strikeforce: Destruction,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Destruction,Strikeforce: Destruction
Kim Couture,Lina Kvokov,2008-11-21,W,L,red_win,TKO (punches),1,3:44,Women's Bantamweight Bout,Strikeforce: Destruction,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Destruction,Strikeforce: Destruction
Darren Uyenoyama,Brad Royster,2008-11-21,W,L,red_win,Decision (unanimous),3,5:00,Bantamweight Bout,Strikeforce: Destruction,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Destruction,Strikeforce: Destruction
Alvin Cacdac,Jose Palacios,2008-11-21,W,L,red_win,Submission (rear-naked choke),2,3:10,Featherweight Bout,Strikeforce: Destruction,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Destruction,Strikeforce: Destruction
Zak Bucia,Adam Steel,2008-11-21,W,L,red_win,Submission (guillotine choke),1,0:35,Welterweight Bout,Strikeforce: Destruction,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Destruction,Strikeforce: Destruction
Nick Diaz,Evangelista Santos,2011-01-29,W,L,red_win,Submission (armbar),2,4:50,Welterweight Bout,Strikeforce: Diaz vs. Cyborg,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Diaz_vs._Cyborg,Strikeforce: Diaz vs. Cyborg
Ronaldo Souza,Robbie Lawler,2011-01-29,W,L,red_win,Submission (rear naked choke),3,2:00,Middleweight Bout,Strikeforce: Diaz vs. Cyborg,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Diaz_vs._Cyborg,Strikeforce: Diaz vs. Cyborg
Herschel Walker,Scott Carson,2011-01-29,W,L,red_win,TKO (strikes),1,3:13,Heavyweight Bout,Strikeforce: Diaz vs. Cyborg,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Diaz_vs._Cyborg,Strikeforce: Diaz vs. Cyborg
Roger Gracie,Trevor Prangley,2011-01-29,W,L,red_win,Submission (rear-naked choke),1,4:19,Light Heavyweight Bout,Strikeforce: Diaz vs. Cyborg,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Diaz_vs._Cyborg,Strikeforce: Diaz vs. Cyborg
James Terry,Lucas Gamaza,2011-01-29,W,L,red_win,TKO (strikes),1,3:26,Welterweight Bout,Strikeforce: Diaz vs. Cyborg,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Diaz_vs._Cyborg,Strikeforce: Diaz vs. Cyborg
Germaine de Randamie,Stephanie Webber,2011-01-29,W,L,red_win,KO (knee),1,4:25,Women's Bantamweight Bout,Strikeforce: Diaz vs. Cyborg,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Diaz_vs._Cyborg,Strikeforce: Diaz vs. Cyborg
Nate Moore,Nathan Coy,2011-01-29,W,L,red_win,KO (punches),2,0:25,Welterweight Bout,Strikeforce: Diaz vs. Cyborg,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Diaz_vs._Cyborg,Strikeforce: Diaz vs. Cyborg
Jenna Castillo,Charlene Gellner,2011-01-29,W,L,red_win,TKO (strikes),2,3:57,Women's Flyweight Bout,Strikeforce: Diaz vs. Cyborg,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Diaz_vs._Cyborg,Strikeforce: Diaz vs. Cyborg
Isaiah Hill,Bobby Stack,2011-01-29,W,L,red_win,Submission (triangle choke),1,1:02,Lightweight Bout,Strikeforce: Diaz vs. Cyborg,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Diaz_vs._Cyborg,Strikeforce: Diaz vs. Cyborg
Ron Keslar,Eric Lawson,2011-01-29,W,L,red_win,Submission (armbar),1,1:57,Catchweight (180 lb) Bout,Strikeforce: Diaz vs. Cyborg,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Diaz_vs._Cyborg,Strikeforce: Diaz vs. Cyborg
Armin Safiari,Sam Bracamonte,2011-01-29,W,L,red_win,Decision (unanimous),3,5:00,Welterweight Bout,Strikeforce: Diaz vs. Cyborg,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Diaz_vs._Cyborg,Strikeforce: Diaz vs. Cyborg
Ricky Jackson,Nikko Jackson,2011-01-29,W,L,red_win,Decision (unanimous),3,5:00,Catchweight (165 lb) Bout,Strikeforce: Diaz vs. Cyborg,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Diaz_vs._Cyborg,Strikeforce: Diaz vs. Cyborg
Anthony Dariano,Alan Perez,2011-01-29,W,L,red_win,Decision (unanimous),3,5:00,Catchweight (150 lb) Bout,Strikeforce: Diaz vs. Cyborg,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Diaz_vs._Cyborg,Strikeforce: Diaz vs. Cyborg
Nick Diaz,Paul Daley,2011-04-09,W,L,red_win,TKO (punches),1,4:57,Welterweight Bout,Strikeforce: Diaz vs. Daley,"Valley View Casino Center, San Diego, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Diaz_vs._Daley,Strikeforce: Diaz vs. Daley
Gilbert Melendez,Tatsuya Kawajiri,2011-04-09,W,L,red_win,TKO (elbows),1,3:14,Lightweight Bout,Strikeforce: Diaz vs. Daley,"Valley View Casino Center, San Diego, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Diaz_vs._Daley,Strikeforce: Diaz vs. Daley
Gegard Mousasi,Keith Jardine,2011-04-09,D,D,draw,"Draw (majority) (29–27, 28–28, 28–28)",3,5:00,Light Heavyweight Bout,Strikeforce: Diaz vs. Daley,"Valley View Casino Center, San Diego, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Diaz_vs._Daley,Strikeforce: Diaz vs. Daley
Shinya Aoki,Lyle Beerbohm,2011-04-09,W,L,red_win,Submission (neck crank),1,1:33,Lightweight Bout,Strikeforce: Diaz vs. Daley,"Valley View Casino Center, San Diego, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Diaz_vs._Daley,Strikeforce: Diaz vs. Daley
Casey Ryan,Paul Song,2011-04-09,W,L,red_win,Submission (triangle choke),1,1:39,Middleweight Bout,Strikeforce: Diaz vs. Daley,"Valley View Casino Center, San Diego, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Diaz_vs._Daley,Strikeforce: Diaz vs. Daley
Rolando Perez,Edgar Cardenas,2011-04-09,W,L,red_win,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,Catchweight (140 lbs) Bout,Strikeforce: Diaz vs. Daley,"Valley View Casino Center, San Diego, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Diaz_vs._Daley,Strikeforce: Diaz vs. Daley
Herman Terrado,A.J. Matthews,2011-04-09,W,L,red_win,KO (punch),1,4:16,Welterweight Bout,Strikeforce: Diaz vs. Daley,"Valley View Casino Center, San Diego, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Diaz_vs._Daley,Strikeforce: Diaz vs. Daley
Joe Duarte,Saad Awad,2011-04-09,W,L,red_win,Submission (armbar),2,2:45,Lightweight Bout,Strikeforce: Diaz vs. Daley,"Valley View Casino Center, San Diego, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Diaz_vs._Daley,Strikeforce: Diaz vs. Daley
Virgil Zwicker,Brett Albee,2011-04-09,W,L,red_win,TKO (strikes),1,1:46,Heavyweight Bout,Strikeforce: Diaz vs. Daley,"Valley View Casino Center, San Diego, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Diaz_vs._Daley,Strikeforce: Diaz vs. Daley
Robbie Peralta,Hiroyuki Takaya,2011-04-09,W,L,red_win,"Decision (split) (30–27, 30–27, 28–29)",3,5:00,Featherweight Bout,Strikeforce: Diaz vs. Daley,"Valley View Casino Center, San Diego, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Diaz_vs._Daley,Strikeforce: Diaz vs. Daley
Nick Diaz,K. J. Noons,2010-10-09,W,L,red_win,"Decision (unanimous) (48–47, 49–47, 49–46)",5,5:00,Welterweight Bout,Strikeforce: Diaz vs. Noons II,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Diaz_vs._Noons_II,Strikeforce: Diaz vs. Noons II
Marloes Coenen,Sarah Kaufman,2010-10-09,W,L,red_win,Submission (armbar),3,1:59,Women's Bantamweight Bout,Strikeforce: Diaz vs. Noons II,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Diaz_vs._Noons_II,Strikeforce: Diaz vs. Noons II
Josh Thomson,Gesias Cavalcante,2010-10-09,W,L,red_win,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00,Lightweight Bout,Strikeforce: Diaz vs. Noons II,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Diaz_vs._Noons_II,Strikeforce: Diaz vs. Noons II
Tyron Woodley,André Galvão,2010-10-09,W,L,red_win,TKO (punches),1,1:48,Welterweight Bout,Strikeforce: Diaz vs. Noons II,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Diaz_vs._Noons_II,Strikeforce: Diaz vs. Noons II
James Terry,David Marshall,2010-10-09,W,L,red_win,Decision (unanimous),3,5:00,Welterweight Bout,Strikeforce: Diaz vs. Noons II,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Diaz_vs._Noons_II,Strikeforce: Diaz vs. Noons II
Josh McDonald,Ron Keslar,2010-10-09,W,L,red_win,Decision (unanimous),3,5:00,Middleweight Bout,Strikeforce: Diaz vs. Noons II,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Diaz_vs._Noons_II,Strikeforce: Diaz vs. Noons II
Jess Bouscal,Luis Mendoza,2010-10-09,W,L,red_win,Submission (arm-triangle choke),2,3:00,Lightweight Bout,Strikeforce: Diaz vs. Noons II,"HP Pavilion, San Jose, California , United States",https://en.wikipedia.org/wiki/Strikeforce%3A_Diaz_vs._Noons_II,Strikeforce: Diaz vs. Noons II
Scott Smith,Cung Le,2009-12-19,W,L,red_win,TKO (Punches),3,3:25,Middleweight Bout,Strikeforce: Evolution,"HP Pavilion at San Jose, San Jose, CA",https://en.wikipedia.org/wiki/Strikeforce%3A_Evolution,Strikeforce: Evolution
Gilbert Melendez,Josh Thomson,2009-12-19,W,L,red_win,Decision (unanimous),5,5:00,Lightweight Bout,Strikeforce: Evolution,"HP Pavilion at San Jose, San Jose, CA",https://en.wikipedia.org/wiki/Strikeforce%3A_Evolution,Strikeforce: Evolution
Ronaldo Souza,Matt Lindland,2009-12-19,W,L,red_win,Submission (arm-triangle choke),1,4:18,Middleweight Bout,Strikeforce: Evolution,"HP Pavilion at San Jose, San Jose, CA",https://en.wikipedia.org/wiki/Strikeforce%3A_Evolution,Strikeforce: Evolution
Muhammed Lawal,Mike Whitehead,2009-12-19,W,L,red_win,KO (punches),1,3:08,Heavyweight Bout,Strikeforce: Evolution,"HP Pavilion at San Jose, San Jose, CA",https://en.wikipedia.org/wiki/Strikeforce%3A_Evolution,Strikeforce: Evolution
